date,home_team,away_team,target,home_goals,away_goals,tournament_weight,is_neutral,home_matches_played,home_goals_for_avg,home_goals_against_avg,home_goal_diff_avg,home_win_pct,home_draw_pct,home_loss_pct,home_recent_form,away_matches_played,away_goals_for_avg,away_goals_against_avg,away_goal_diff_avg,away_win_pct,away_draw_pct,away_loss_pct,away_recent_form,home_elo,away_elo,elo_diff,goal_diff_strength,h2h_home_wins,h2h_away_wins,h2h_draws
2018-03-21,Zambia,Zimbabwe,1,2,2,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1498,1461,37,0.0,0,0,0
2018-03-22,Algeria,Tanzania,0,4,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535,1294,241,0.0,0,0,0
2018-03-22,Bahrain,Palestine,1,0,0,1.0,false,1,0.0,1.0,-1.0,1.0,0.0,0.0,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1405,1411,-6,-1.0,0,0,0
2018-03-22,Belize,Grenada,0,4,2,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159,1109,50,0.0,0,0,0
2018-03-22,Burkina Faso,Guinea-Bissau,0,2,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1603,1289,314,0.0,0,0,0
2018-03-22,China,Wales,2,0,6,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1564,1764,-200,0.0,0,0,0
2018-03-22,Denmark,Panama,0,1,0,1.0,false,1,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840,1670,170,-1.0,0,0,0
2018-03-22,Dominican Republic,Turks and Caicos Islands,0,4,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250,761,489,0.0,0,0,0
2018-03-22,Faroe Islands,Latvia,1,1,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,1280,1360,-80,1.0,0,0,0
2018-03-22,Kyrgyzstan,Myanmar,0,5,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211,1097,114,0.0,0,0,0
2018-03-22,Macau,Mauritius,2,0,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1067,433,0.0,0,0,0
2018-03-22,Malaysia,Mongolia,1,2,2,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066,656,410,0.0,0,0,0
2018-03-22,Malta,Luxembourg,2,0,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1214,1321,-107,0.0,0,0,0
2018-03-22,Nicaragua,Cuba,0,3,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1266,1307,-41,0.0,0,0,0
2018-03-22,Philippines,Fiji,0,3,2,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163,1252,-89,0.0,0,0,0
2018-03-22,Slovakia,United Arab Emirates,0,2,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.4,1747,1562,185,0.0,0,0,0
2018-03-22,Thailand,Gabon,1,0,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408,1411,-3,0.0,0,0,0
2018-03-23,Austria,Slovenia,0,3,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1711,1639,72,0.0,0,0,0
2018-03-23,Azerbaijan,Belarus,2,0,1,1.0,false,1,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1398,1496,-98,0.0,0,0,0
2018-03-23,Bulgaria,Bosnia-Herzegovina,2,0,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.5162263252442778,-0.5162263252442778,0.5162263252442778,0.4837736747557223,0.0,0.8,1620,1720,-100,0.5162263252442778,0,0,0
