team,avg_goals_for,avg_goals_against,avg_goal_diff,avg_win_pct,avg_elo
Malawi,0.644583051713612,1.2287759323769374,-0.5841928806633256,0.4799842667677856,1299.5454545454545
Cameroon,1.2961175258668551,0.7920961551189796,0.5040213707478757,0.45551987466098315,1601.642857142857
Sierra Leone,1.0460576172491947,1.6215570955720888,-0.575499478322894,0.4595701713653776,1330.8
Australia,1.7551325566701337,0.8593523895093941,0.8957801671607394,0.4707709605976883,1747.857142857143
Greenland,1.8318326512604077,2.172030482229453,-0.34019783096904527,0.33440313073425404,957.0
England,1.942601109405628,0.6625366931614503,1.2800644162441779,0.4549044876242214,1987.0735294117646
Taiwan,0.925153803343759,1.8351522424960323,-0.9099984391522732,0.42443484890090666,950.875
São Tomé and Príncipe,0.7940879320927614,2.910617586686509,-2.1165296545937475,0.6486151547387334,1500.0
Montenegro,0.9305415855885446,1.386775929427126,-0.45623434383858136,0.4238065247846264,1539.9574468085107
Belgium,2.229603093059668,0.7870411311713285,1.4425619618883392,0.4860526645229779,2006.017857142857
Lesotho,0.6128210061328629,1.3463972288434018,-0.733576222710539,0.4557388659900545,1253.0666666666666
Sri Lanka,0.6944262700368752,1.8426640242116468,-1.1482377541747715,0.5636830573315045,703.9166666666666
Lithuania,0.6234827906229066,1.9606542165467542,-1.3371714259238474,0.46190562522314893,1319.625
Hmong,0.0,3.0,-3.0,1.0,1500.0
Tibet,1.3874199062902866,4.263241401539578,-2.8758214952492915,0.8676294918889678,629.0
French Guiana,1.4458462474210874,1.2686253812422439,0.17722086617884356,0.4239837530422804,1293.5333333333333
Germany,1.8863076214516294,1.2416568623053728,0.6446507591462566,0.37506201198243877,1954.7619047619048
Western Armenia,1.5485494715265196,0.6083048246405168,0.9402446468860026,0.18981056949441485,1500.0
United States,1.7021578232797419,0.9875309848281293,0.7146268384516126,0.5470408616659356,1769.851485148515
Yemen,0.5826261613159056,1.8057976092873047,-1.2231714479713989,0.496798681396663,1152.15
Hong Kong,1.0222242813937747,1.6049984437548952,-0.5827741623611205,0.5617418050571152,1135.3823529411766
Saint Barthélemy,2.5357063537219426,1.8782964933880641,0.6574098603338784,0.5881635583849515,1500.0
Mauritius,0.9527689102418596,1.3106831333349651,-0.35791422309310555,0.5341911652021575,1022.2916666666666
Croatia,1.535056583588537,1.236061245764875,0.298995337823662,0.44484853808840885,1901.3076923076924
Chile,1.0682592309319583,1.289352622665041,-0.2210933917330827,0.46859133017959154,1763.2894736842106
New Zealand,1.68433363714108,0.943717660004505,0.740615977136575,0.5783712099434296,1556.8181818181818
Ecuador,1.1359691486751664,0.9854871998349201,0.1504819488402463,0.4810854337546379,1831.159090909091
Grenada,1.064172183762883,2.490344646297828,-1.426172462534945,0.4667088701425908,1115.5
Canada,2.0145596544964697,0.8338063420302223,1.1807533124662473,0.4597136947245572,1722.75
Slovakia,1.3161560398602448,1.190642434105072,0.12551360575517287,0.40254133473260506,1683.0652173913043
Italy,1.7578239728411182,0.8468705240206686,0.9109534488204497,0.38724234449321515,1961.1568627450981
Zambia,1.2920974989463483,1.3812988627202492,-0.08920136377390095,0.42175698050584803,1446.75
North Macedonia,1.3518222494755425,1.2706715792677845,0.081150670207758,0.4633065949411102,1555.3589743589744
Uganda,0.9622074754486862,1.0361222866774027,-0.07391481122871654,0.49478642697164654,1424.0344827586207
Rwanda,0.7974384002747297,0.928153060577647,-0.13071466030291737,0.3982270219605739,1292.2903225806451
Azerbaijan,0.8007920977874124,1.6497424528614555,-0.8489503550740429,0.39720250748891395,1386.4888888888888
Ellan Vannin,1.7120462256407345,1.0,0.7120462256407345,0.44610170541361055,1500.0
Guinea,1.1185852919273807,1.1549517690876254,-0.036366477160244624,0.49848391701480854,1444.4848484848485
Biafra,0.2504813516139002,0.24951864838609977,0.0009627032278004617,0.0,1500.0
Cayman Islands,0.7307723549719947,2.6130303161359665,-1.8822579611639718,0.5535350218994045,856.0952380952381
Frøya,0.616913363778839,3.605443655180874,-2.9885302914020353,0.7874385876518463,1500.0
Uzbekistan,1.4512010751411686,0.9739390629996633,0.47726201214150527,0.5359751223093778,1619.7058823529412
Yorkshire,2.405137695029661,1.4680659756390644,0.9370717193905961,0.42968828009869486,1500.0
Jordan,1.2910931358284206,1.1405585328966192,0.15053460293180126,0.39714959336878475,1545.1694915254238
Sudan,0.7587074140503413,1.3039478489504774,-0.5452404349001362,0.5133881123138874,1333.2
Honduras,1.0571318296752905,1.5690032454404643,-0.5118714157651737,0.5481288024610682,1542.4761904761904
Bangladesh,0.7555727351609883,1.4906824671624597,-0.7351097320014712,0.4076853802523697,866.8918918918919
Namibia,0.9392672930102631,1.1838672995974269,-0.2446000065871638,0.3699791566828812,1357.78125
Tajikistan,1.035483942090106,1.2554214486664168,-0.21993750657631064,0.5307067939980906,1307.892857142857
Pakistan,0.2987183590319672,2.2269651893336384,-1.928246830301671,0.668461232756869,849.8
Trinidad and Tobago,1.1933339564320744,1.6184207155052082,-0.42508675907313376,0.5302386843282061,1389.0277777777778
United Koreans in Japan,0.11168178240088357,0.11168178240088357,0.0,0.0,1500.0
Somalia,0.3441281922170225,1.9462582957048282,-1.6021301034878057,0.5800880804090317,892.625
Basque Country,1.0391029587388996,0.6436950432447409,0.3954079154941586,0.30447875880867536,1500.0
Nepal,0.7536112029535672,2.092912055519159,-1.3393008525655918,0.5976702663686306,928.4615384615385
Sápmi,1.2483169003937753,3.0019290993218837,-1.7536121989281086,0.8753625165062571,1500.0
Kazakhstan,1.0416039389608525,1.7295592816737144,-0.687955342712862,0.49910475712578695,1390.2894736842106
New Caledonia,2.1614938647759323,1.0237388546288302,1.1377550101471023,0.5294256822099838,1228.7
Colombia,1.5900349325529388,0.8490276745262242,0.7410072580267145,0.3282633817987933,1964.625
Bahamas,0.9064719696249026,3.462627814059305,-2.5561558444344024,0.5346128126765451,834.5238095238095
Luhansk PR,0.0,2.0,-2.0,1.0,1500.0
Dominican Republic,1.6304965356884884,1.2878456445485633,0.3426508911399252,0.5496908253912904,1228.3939393939395
Tunisia,1.413734259039607,0.783793883799252,0.6299403752403552,0.4780025517120115,1649.9649122807018
